species,plant_functional_type,gm,An,gs_CO2,T_mesophyll,T_leaf,fias_mesophyll,Cistar_infered,L_infered,Ci_infered,g_ias,gm_,gs,dgm_,dgs,dg_ias,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
Araucaria heterophylla,evergreen gymnosperms,0.022,5.48,0.035,486.9,541.6,0.37,40,486.9,203.42857142857144,0.6911469866949005,0.03353146853146853,0.035,0.0044,0.007000000000000001,0.1382293973389801,0.10842642099356395,0.03394616375698044,0.02869104333610978,0.3193443009994564,0.03830345226055393,0.03618595439513339
Araucaria heterophylla,evergreen gymnosperms,0.038,5.48,0.035,486.9,541.6,0.37,40,486.9,203.42857142857144,0.6911469866949005,0.03353146853146853,0.035,0.0076,0.007000000000000001,0.1382293973389801,0.10688122650098592,0.02982875470892328,0.030419915209448173,0.32364265729016584,0.05164913102590213,0.04861802085171718
Brassica napus,C3 annual herbaceous,0.47,13.9,0.097,,343.0,0.306,40,291.55,226.0,0.954589933148128,0.07473118279569893,0.097,0.094,0.0194,0.1909179866296256,0.2101985864285643,0.05724245552245985,0.06192298793419401,0.47321121590097426,0.22084641387664095,0.19920934838010895
Brassica napus,C3 annual herbaceous,0.224,16.7,0.217,147.0,180.0,0.339,40,147.0,299.0,2.0974462142226926,0.06447876447876448,0.217,0.044800000000000006,0.0434,0.41948924284453853,0.21773914114626242,0.063178262022552,0.05566500857202589,0.2553662526238327,0.08650962993449932,0.08472153246923508
Brassica napus,C3 annual herbaceous,0.268,21.5,0.207,,200.9,0.273,40,170.765,256.1352657004831,1.4540262731118074,0.09947474295932052,0.207,0.05360000000000001,0.0414,0.2908052546223615,0.3019122891810722,0.08579011193708383,0.08194608410006293,0.3810537110166499,0.10520253697459403,0.11339425292609207
Brassica napus,C3 annual herbaceous,0.203,15.8,0.21,148.0,179.0,0.289,40,148.0,284.76190476190476,1.7760066873718934,0.06455252918287938,0.21,0.040600000000000004,0.042,0.3552013374743787,0.24497766090325804,0.07202039791773851,0.06652315258926869,0.2774376479210176,0.08613427749744132,0.078023250419335
Castanopsis sieboldii,evergreen angiosperms,0.078,6.85,0.084,190.3,,0.469,40,190.3,247.4,2.241519512695451,0.03302796528447444,0.084,0.015600000000000001,0.016800000000000002,0.4483039025390902,0.07958931972676524,0.022159095667013844,0.021518593539968697,0.1746191903087822,0.043564945718919806,0.04574801042871579
Chamaecyparis obtusa,evergreen gymnosperms,0.065,4.3,0.033,578.0,716.0,0.231,40,578.0,211.0,0.3634901200169437,0.025146198830409357,0.033,0.013000000000000001,0.006600000000000001,0.07269802400338875,0.1906925234413123,0.05589783394678691,0.04917244824872516,0.39073576828085416,0.1051657175140368,0.10249743586800653
Citrus limon,evergreen angiosperms,0.142,12.9,0.106,239.0,257.0,0.36,40,239.0,242.4,1.3699763475724183,0.06373517786561265,0.106,0.028399999999999998,0.0212,0.27399526951448366,0.16259949521202624,0.047719068156233474,0.043925349700522115,0.3162840947473627,0.07939772374268017,0.07592364269206248
Citrus paradisi,evergreen angiosperms,0.198,20.4,0.219,319.0,340.0,0.43,40,319.0,245.5,1.2259880637410083,0.09927007299270073,0.219,0.0396,0.043800000000000006,0.24519761274820168,0.3701175103112416,0.09990420413821888,0.09902683840437804,0.4118037498342743,0.10107311348428832,0.10500385983531507
Cucumis sativus,C3 annual herbaceous,0.206,21.2,0.346,,130.8,0.232,40,111.18,298.72832369942194,1.8978845245996345,0.08193923145665774,0.346,0.0412,0.0692,0.3795769049199269,0.38780232634596246,0.10603118401574008,0.09992354656543184,0.29792053142943703,0.0819485832921539,0.08301072721997327
Cupressus sempervirens,evergreen gymnosperms,0.039,10.91,0.099,389.6,416.0,0.063,40,389.6,249.7979797979798,0.1470720244795082,0.05200240731824748,0.099,0.0078000000000000005,0.0198,0.029414404895901643,1.4318734601933547,0.3927391870358743,0.40335247092729576,0.9691341278135478,0.1536936409039229,0.14416413998466038
Cupressus sempervirens,evergreen gymnosperms,0.062,10.91,0.099,389.6,416.0,0.063,40,389.6,249.7979797979798,0.1470720244795082,0.05200240731824748,0.099,0.012400000000000001,0.0198,0.029414404895901643,1.41024585677381,0.36116458839050014,0.34023270037019837,0.9800136854375867,0.18743968916565112,0.18350735166931087
Cycas revoluta,evergreen gymnosperms,0.046,4.17,0.023,256.5,310.1,0.2,40,256.5,178.69565217391303,0.7091712087281957,0.030065830721003137,0.023,0.0092,0.0046,0.14183424174563916,0.06642958358867468,0.01745452503753999,0.01736305971396533,0.2974759117520517,0.05928053786452908,0.054932868130463997
Cycas revoluta,evergreen gymnosperms,0.092,4.17,0.023,256.5,310.1,0.2,40,256.5,178.69565217391303,0.7091712087281957,0.030065830721003137,0.023,0.0184,0.0046,0.14183424174563916,0.06731180896803403,0.019834492065337682,0.01974030991949062,0.29177873709566415,0.1013970344427487,0.09745492002981121
Cypripedium flavum,C3 perennial herbaceous,0.07,10.4,0.26,224.2,312.6,0.273,40,224.2,302.7,1.1074790210880363,0.0395888846593072,0.26,0.014000000000000002,0.052000000000000005,0.22149580421760728,0.4850281341720785,0.13706327389208572,0.12773946669222175,0.27045283628970346,0.06010663551803594,0.059116401435924115
Cypripedium tibeticum,C3 perennial herbaceous,0.056,7.73,0.17,182.1,275.2,0.294,40,182.1,295.8,1.468404997841899,0.030218921032056294,0.17,0.011200000000000002,0.034,0.2936809995683798,0.2524685133759988,0.0731248458316418,0.07271477404342358,0.20083136695049286,0.04555010853979147,0.04441929848226023
Cypripedium yunnanense,C3 perennial herbaceous,0.07,9.32,0.24,191.4,290.1,0.247,40,191.4,297.4,1.1737172548218182,0.03620823620823621,0.24,0.014000000000000002,0.048,0.23474345096436366,0.43293444367224104,0.12096821228138716,0.11556224612122307,0.25004730815076864,0.05322176160983144,0.057245687527045785
Ephedra minuta,evergreen gymnosperms,0.01,4.52,0.021,431.0,488.9,0.21,40,431.0,144.7619047619048,0.44314973501327454,0.04314545454545453,0.021,0.002,0.004200000000000001,0.08862994700265492,0.09910496410590727,0.02861411600079311,0.029523174415424486,0.4651363457613485,0.05248288610726487,0.04952755042699769
Ephedra minuta,evergreen gymnosperms,0.007,4.52,0.021,431.0,488.9,0.21,40,431.0,144.7619047619048,0.44314973501327454,0.04314545454545453,0.021,0.0014000000000000002,0.004200000000000001,0.08862994700265492,0.09999548448803544,0.029854935510451555,0.030150081760755454,0.4657773555980923,0.05133214459723162,0.053092745425430965
Fallopia japonica,C3 perennial herbaceous,0.196,9.85,0.18,166.0,,0.49,40,166.0,292.2,2.6847043183434725,0.039056304520222046,0.18,0.039200000000000006,0.036,0.5369408636686945,0.14186492349397592,0.036315250285971934,0.03647493570054047,0.1815252227660693,0.06629833807715764,0.06510314453275268
Fraxinus ornus,deciduous angiosperms,0.122,8.19,0.076,64.5,,0.408,40,64.5,233.0,5.753192661691715,0.04243523316062176,0.076,0.0244,0.0152,1.150638532338343,0.028296432652148453,0.00836335794208589,0.00840982173272178,0.12371057370935691,0.03725191790297511,0.03723622104581277
Gossypium barbadense,C3 perennial herbaceous,0.221,32.66,0.295,,206.7,0.336,40,175.695,249.28813559322035,1.7393554584089141,0.1560528020732102,0.295,0.0442,0.059,0.3478710916817829,0.3542123531188024,0.09403847155659734,0.09452314390178995,0.4353817082234741,0.0837053286436053,0.08124909132926417
